"","team","slot","player","position","projPts","bidNum","paid"
"1","Kevin","QB","Andrew Luck","QB",413.5,1,50
"2","Kevin","RB1","","",0,0,0
"3","Kevin","RB2","","",0,0,0
"4","Kevin","WR1","","",0,0,0
"5","Kevin","WR2","","",0,0,0
"6","Kevin","FLEX","","",0,0,0
"7","Kevin","TE","","",0,0,0
"8","Kevin","DST","","",0,0,0
"9","Kevin","K","","",0,0,0
"10","Kevin","BENCH1","","",0,0,0
"11","Kevin","BENCH2","","",0,0,0
"12","Kevin","BENCH3","","",0,0,0
"13","Kevin","BENCH4","","",0,0,0
"14","Kevin","BENCH5","","",0,0,0
"15","Kevin","BENCH6","","",0,0,0
"16","Kevin","BENCH7","","",0,0,0
"17","Matt","QB","","",0,0,0
"18","Matt","RB1","","",0,0,0
"19","Matt","RB2","","",0,0,0
"20","Matt","WR1","","",0,0,0
"21","Matt","WR2","","",0,0,0
"22","Matt","FLEX","","",0,0,0
"23","Matt","TE","","",0,0,0
"24","Matt","DST","","",0,0,0
"25","Matt","K","","",0,0,0
"26","Matt","BENCH1","","",0,0,0
"27","Matt","BENCH2","","",0,0,0
"28","Matt","BENCH3","","",0,0,0
"29","Matt","BENCH4","","",0,0,0
"30","Matt","BENCH5","","",0,0,0
"31","Matt","BENCH6","","",0,0,0
"32","Matt","BENCH7","","",0,0,0
"33","Brad","QB","","",0,0,0
"34","Brad","RB1","","",0,0,0
"35","Brad","RB2","","",0,0,0
"36","Brad","WR1","","",0,0,0
"37","Brad","WR2","","",0,0,0
"38","Brad","FLEX","","",0,0,0
"39","Brad","TE","","",0,0,0
"40","Brad","DST","","",0,0,0
"41","Brad","K","","",0,0,0
"42","Brad","BENCH1","","",0,0,0
"43","Brad","BENCH2","","",0,0,0
"44","Brad","BENCH3","","",0,0,0
"45","Brad","BENCH4","","",0,0,0
"46","Brad","BENCH5","","",0,0,0
"47","Brad","BENCH6","","",0,0,0
"48","Brad","BENCH7","","",0,0,0
"49","Tony","QB","","",0,0,0
"50","Tony","RB1","","",0,0,0
"51","Tony","RB2","","",0,0,0
"52","Tony","WR1","","",0,0,0
"53","Tony","WR2","","",0,0,0
"54","Tony","FLEX","","",0,0,0
"55","Tony","TE","","",0,0,0
"56","Tony","DST","","",0,0,0
"57","Tony","K","","",0,0,0
"58","Tony","BENCH1","","",0,0,0
"59","Tony","BENCH2","","",0,0,0
"60","Tony","BENCH3","","",0,0,0
"61","Tony","BENCH4","","",0,0,0
"62","Tony","BENCH5","","",0,0,0
"63","Tony","BENCH6","","",0,0,0
"64","Tony","BENCH7","","",0,0,0
"65","Drew","QB","","",0,0,0
"66","Drew","RB1","","",0,0,0
"67","Drew","RB2","","",0,0,0
"68","Drew","WR1","","",0,0,0
"69","Drew","WR2","","",0,0,0
"70","Drew","FLEX","","",0,0,0
"71","Drew","TE","","",0,0,0
"72","Drew","DST","","",0,0,0
"73","Drew","K","","",0,0,0
"74","Drew","BENCH1","","",0,0,0
"75","Drew","BENCH2","","",0,0,0
"76","Drew","BENCH3","","",0,0,0
"77","Drew","BENCH4","","",0,0,0
"78","Drew","BENCH5","","",0,0,0
"79","Drew","BENCH6","","",0,0,0
"80","Drew","BENCH7","","",0,0,0
"81","James","QB","","",0,0,0
"82","James","RB1","","",0,0,0
"83","James","RB2","","",0,0,0
"84","James","WR1","","",0,0,0
"85","James","WR2","","",0,0,0
"86","James","FLEX","","",0,0,0
"87","James","TE","","",0,0,0
"88","James","DST","","",0,0,0
"89","James","K","","",0,0,0
"90","James","BENCH1","","",0,0,0
"91","James","BENCH2","","",0,0,0
"92","James","BENCH3","","",0,0,0
"93","James","BENCH4","","",0,0,0
"94","James","BENCH5","","",0,0,0
"95","James","BENCH6","","",0,0,0
"96","James","BENCH7","","",0,0,0
"97","Shep","QB","","",0,0,0
"98","Shep","RB1","","",0,0,0
"99","Shep","RB2","","",0,0,0
"100","Shep","WR1","","",0,0,0
"101","Shep","WR2","","",0,0,0
"102","Shep","FLEX","","",0,0,0
"103","Shep","TE","","",0,0,0
"104","Shep","DST","","",0,0,0
"105","Shep","K","","",0,0,0
"106","Shep","BENCH1","","",0,0,0
"107","Shep","BENCH2","","",0,0,0
"108","Shep","BENCH3","","",0,0,0
"109","Shep","BENCH4","","",0,0,0
"110","Shep","BENCH5","","",0,0,0
"111","Shep","BENCH6","","",0,0,0
"112","Shep","BENCH7","","",0,0,0
"113","Milf","QB","","",0,0,0
"114","Milf","RB1","","",0,0,0
"115","Milf","RB2","","",0,0,0
"116","Milf","WR1","","",0,0,0
"117","Milf","WR2","","",0,0,0
"118","Milf","FLEX","","",0,0,0
"119","Milf","TE","","",0,0,0
"120","Milf","DST","","",0,0,0
"121","Milf","K","","",0,0,0
"122","Milf","BENCH1","","",0,0,0
"123","Milf","BENCH2","","",0,0,0
"124","Milf","BENCH3","","",0,0,0
"125","Milf","BENCH4","","",0,0,0
"126","Milf","BENCH5","","",0,0,0
"127","Milf","BENCH6","","",0,0,0
"128","Milf","BENCH7","","",0,0,0
"129","Toby","QB","","",0,0,0
"130","Toby","RB1","","",0,0,0
"131","Toby","RB2","","",0,0,0
"132","Toby","WR1","","",0,0,0
"133","Toby","WR2","","",0,0,0
"134","Toby","FLEX","","",0,0,0
"135","Toby","TE","","",0,0,0
"136","Toby","DST","","",0,0,0
"137","Toby","K","","",0,0,0
"138","Toby","BENCH1","","",0,0,0
"139","Toby","BENCH2","","",0,0,0
"140","Toby","BENCH3","","",0,0,0
"141","Toby","BENCH4","","",0,0,0
"142","Toby","BENCH5","","",0,0,0
"143","Toby","BENCH6","","",0,0,0
"144","Toby","BENCH7","","",0,0,0
"145","Keith","QB","","",0,0,0
"146","Keith","RB1","","",0,0,0
"147","Keith","RB2","","",0,0,0
"148","Keith","WR1","","",0,0,0
"149","Keith","WR2","","",0,0,0
"150","Keith","FLEX","","",0,0,0
"151","Keith","TE","","",0,0,0
"152","Keith","DST","","",0,0,0
"153","Keith","K","","",0,0,0
"154","Keith","BENCH1","","",0,0,0
"155","Keith","BENCH2","","",0,0,0
"156","Keith","BENCH3","","",0,0,0
"157","Keith","BENCH4","","",0,0,0
"158","Keith","BENCH5","","",0,0,0
"159","Keith","BENCH6","","",0,0,0
"160","Keith","BENCH7","","",0,0,0
"161","Ross","QB","","",0,0,0
"162","Ross","RB1","","",0,0,0
"163","Ross","RB2","","",0,0,0
"164","Ross","WR1","","",0,0,0
"165","Ross","WR2","","",0,0,0
"166","Ross","FLEX","","",0,0,0
"167","Ross","TE","","",0,0,0
"168","Ross","DST","","",0,0,0
"169","Ross","K","","",0,0,0
"170","Ross","BENCH1","","",0,0,0
"171","Ross","BENCH2","","",0,0,0
"172","Ross","BENCH3","","",0,0,0
"173","Ross","BENCH4","","",0,0,0
"174","Ross","BENCH5","","",0,0,0
"175","Ross","BENCH6","","",0,0,0
"176","Ross","BENCH7","","",0,0,0
"177","Billy","QB","","",0,0,0
"178","Billy","RB1","","",0,0,0
"179","Billy","RB2","","",0,0,0
"180","Billy","WR1","","",0,0,0
"181","Billy","WR2","","",0,0,0
"182","Billy","FLEX","","",0,0,0
"183","Billy","TE","","",0,0,0
"184","Billy","DST","","",0,0,0
"185","Billy","K","","",0,0,0
"186","Billy","BENCH1","","",0,0,0
"187","Billy","BENCH2","","",0,0,0
"188","Billy","BENCH3","","",0,0,0
"189","Billy","BENCH4","","",0,0,0
"190","Billy","BENCH5","","",0,0,0
"191","Billy","BENCH6","","",0,0,0
"192","Billy","BENCH7","","",0,0,0
